intent;hjelpesenter_category;hjelpesenter_subcategory;action_type;requires_login;requires_action;is_active;payment_required;payment_amount;combined_response;keywords;primary_action;resolution_steps;api_endpoint;help_center_article_url;help_center_article_title;required_runtime_data;chatbot_steps
AppAccess;DyreID-appen;Hvordan får tilgang til DyreID-appen?;INFO_ONLY;false;false;true;false;;"DyreID-appen er laget for hunde- og katteeiere som har registrert kjæledyret sitt i DyreID. For å få tilgang til appen, kan du laste den ned fra enten App Store eller Google Play, avhengig av hvilken type mobiltelefon du har. 

Når appen er installert, kan du logge inn på flere måter. Hvis du allerede er bruker av ""Min side"" på nettet, kan du be om en engangskode via e-post eller mobilnummer. Alternativt kan du bruke en tilsendt verifiseringskode fra e-post ved førstegangsinnlogging. For senere innlogginger kan du velge biometrisk autentisering eller en pinkode.

Appen gir deg tilgang til informasjon om kjæledyret ditt, tilpassede helsedata, diagnoser, ekspert råd, og mye mer. Et gratis basisabonnement gir nyttig informasjon, mens DyreID+ abonnementet gir deg eksklusiv tilgang til alt innhold for kun {{PRICE:dyreid_pluss_maaned}} per måned eller {{PRICE:dyreid_pluss_aar}} per år.";app, laste ned, installere, tilgang, mobil;;;;https://www.dyreid.no/dyreid-app/76-hvem-passer-appen-for;Hvem passer appen for?;;
AppBenefits;DyreID-appen;Hvorfor app?;INFO_ONLY;false;false;true;false;;"DyreID-appen gir kjæledyreiere enkel tilgang til viktig informasjon om sine kjæledyr rett fra mobilen. Den er designet for å samle all relevant informasjon om hunder og katter på ett sted, inkludert helsedata, diagnostisert informasjon og statistikk basert på over 890 000 kjæledyr. Basisversjonen av appen er gratis, mens DyreID+ tilbyr flere funksjoner for kun {{PRICE:dyreid_pluss_maaned}} per måned eller {{PRICE:dyreid_pluss_aar}} per år. Appen gir også ekspertråd fra kjente veterinærer, samt tips for trening og atferd av kjæledyr. Funksjoner som ""Savnet & Funnet""-tjenesten og varsler om sykdommer i ditt område er integrert i appen. DyreID-appen er tilgjengelig for nedlasting på både App Store og Google Play, og gir en bedre brukeropplevelse enn ""Min side"" på nettet.";hvorfor, app, fordeler, funksjoner;;;;https://www.dyreid.no/dyreid-app/76-hvem-passer-appen-for;Hvem passer appen for?;;
AppCost;DyreID-appen;Koster appen noe?;INFO_ONLY;false;false;true;false;;"DyreID-appen er gratis å laste ned og bruke med et basisabonnement, som gir deg nyttig informasjon om kjæledyret ditt direkte på mobilen. Dette inkluderer helsedata og andre relevante opplysninger. Hvis du ønsker enda mer innhold og funksjoner, kan du oppgradere til DyreID+. Med DyreID+ får du eksklusiv tilgang til alt innhold fra DyreID, inkludert ekspert-råd og Savnet & Funnet-tjenesten. DyreID+ koster {{PRICE:dyreid_pluss_maaned}}oner per måned eller {{PRICE:dyreid_pluss_aar}}oner per år. Appen kan lastes ned fra App Store eller Google Play, og det er flere metoder for å logge inn når du har opprettet en konto eller allerede er bruker av ""Min side"" på web.";koster, gratis, pris, app, betale;;;;https://www.dyreid.no/dyreid-app/76-hvem-passer-appen-for;Hvem passer appen for?;;
AppLanguageSettings;DyreID-appen;Språkinnstillinger;INFO_ONLY;false;false;true;false;;Gå til Settings (Innstillinger) i appen og velg 'Language/Språk' > Norsk. Appen vil starte på nytt med norsk tekst.;språk, language, engelsk, norsk, settings, appen er på engelsk, bytte språk, AppLanguage, AppLanguageChange, AppChangeLanguage, AppLanguageSetting;;;;;;;
AppLoginIssue;DyreID-appen;Innlogging app;INFO_ONLY;false;false;true;false;;"DyreID-appen er designet for alle som har registrerte hunder og katter i DyreID. Du kan laste den ned fra App Store eller Google Play, avhengig av hvilken mobil du bruker. Når du skal logge inn for første gang, kan du velge mellom tre alternativer. Du kan få tilsendt en engangskode ved å oppgi din e-postadresse eller mobilnummer, som brukes dersom du allerede er bruker av ""Min side"" på nettet. Alternativt kan du bruke en verifiseringskode som du mottar på e-post. For senere innlogginger kan du bruke biometrisk identifikasjon eller en selvvalgt pinkode. Basisabonnementet er gratis og gir deg tilgang til nyttig informasjon om kjæledyret ditt, mens det oppgraderte DyreID+-abonnementet tilbyr enda flere funksjoner mot en månedspris på {{PRICE:dyreid_pluss_maaned}} eller en årsavgift på {{PRICE:dyreid_pluss_aar}}.";app, logg inn, innlogging, app login;;;;https://www.dyreid.no/dyreid-app/76-hvem-passer-appen-for;Hvem passer appen for?;;
AppMinSide;DyreID-appen;Min side (i appen);INFO_ONLY;false;false;true;false;;"Min side i DyreID-appen gir deg enkel tilgang til all informasjon om kjæledyret ditt. Med basisabonnementet, som er gratis, kan du finne nyttige opplysninger og helsedata tilpasset ditt kjæledyr. Ved å oppgradere til DyreID+ får du tilgang til enda flere funksjoner for {{PRICE:dyreid_pluss_maaned}} per måned eller {{PRICE:dyreid_pluss_aar}} per år, inkludert tips og råd fra kjente eksperter, samt Savnet & Funnet-tjenesten. 

Endringer gjort på Min side i appen eller på web oppdateres automatisk begge steder. For å få full nytte av tjenestene og funksjonene, anbefales det å laste ned appen fra App Store eller Google Play. Appen tilbyr en rikere funksjonalitet enn Min side på web, og innlogging kan gjøres ved hjelp av engangskode, tilsendt kode eller biometriske metoder for enkel tilgang.";min side, app, profil, oversikt;;;;https://www.dyreid.no/dyreid-app/76-hvem-passer-appen-for;Hvem passer appen for?;;
AppPushNotificationIssue;DyreID-appen;Push-varsler feilsøking;INFO_ONLY;false;false;true;false;;Gå til Innstillinger > DyreID > Varsler på telefonen og sjekk at alle varseltyper er aktivert. Logg ut og inn igjen i appen.;push-varsler, varsler, fungerer ikke, skrudd på, får ikke varsler, varsler virker ikke, AppPushNotifications, AppNotifications, PushNotificationsIssue, PushNotifications, PushNotificationIssue;;;;;;;
AppTargetAudience;DyreID-appen;Hvem passer appen for?;INFO_ONLY;false;false;true;false;;"DyreID-appen er laget spesielt for hunde- og katteeiere som har registrert kjæledyrene sine i DyreID, Norges nasjonale kjæledyrregister. Appen er designet for å gi dyreeiere enkel tilgang til all relevant informasjon om dyrene sine rett fra mobilen. Med DyreID-appen kan du få oversikt over kjæledyrets informasjon og helsedata, se historikk over stilte diagnoser, og få ekspertveiledning gjennom tips og råd fra dyreeksperter. For de som ønsker utvidede funksjoner, tilbyr DyreID+ abonnementet eksklusiv tilgang til alt innhold, inkludert statistikk og innsikt fra et stort antall kjæledyr, samt flere nyttige funksjoner enn ""Min side"" på web. Basispakken er gratis, men DyreID+ koster {{PRICE:dyreid_pluss_maaned}}oner per måned eller {{PRICE:dyreid_pluss_aar}}oner per år. Appen er tilgjengelig for nedlasting via App Store og Google Play.";hvem, passer, app, dyreeier, bruker;;;;https://www.dyreid.no/dyreid-app/76-hvem-passer-appen-for;Hvem passer appen for?;;
SubscriptionComparison;DyreID-appen;Hva er forskjellen på DyreID basis og DyreID+?;INFO_ONLY;false;false;true;false;;DyreID tilbyr to ulike typer medlemskap: DyreID basis og DyreID+. Med DyreID basis får du tilgang til mange gratis funksjoner gjennom appen. Hvis du velger DyreID+, får du i tillegg flere fordeler. Dette inkluderer innsikt og statistikk tilpasset dyrets rase og alder, samt informasjon og råd fra fagveterinærer og ekspertkilder. Hundeeiere får treningsråd fra Maren Teien Rørvik, kjent fra serien «Fra bølle til bestevenn», mens katteeiere får rådgivning fra adferdsekspert og veterinær Tine Berge. DyreID+ gir også eksklusive rabatter på blant annet hundetrening, forsikring og sporing. I tillegg har medlemmer tilgang til alle diagnoser og helsestatistikk for sitt kjæledyr. DyreID+ gir dermed en mer omfattende og tilpasset opplevelse for dyreeiere som ønsker ekstra innsikt og fordeler.;basis, plus, dyreID+, forskjell, sammenligne;;;;https://www.dyreid.no/dyreid-app/79-hva-er-forskjellen-pa-basis-og-dyreid-plus-abonnement;Hva er forskjellen på DyreID basis og DyreID+ abonnement?;;
NKKOwnership;Eierskifte;Eierskifte av NKK-registrert hund;INFO_ONLY;false;false;true;false;;Dersom hunden din er registrert i Norsk Kennel Klubb (NKK), må eierskifteprosessen håndteres direkte av NKK. Når NKK har gjennomført eierskiftet, sender de oppdateringer om både kjæledyret og den nye eieren til DyreID, hvor registeret vil bli oppdatert automatisk. Det er dermed ikke nødvendig med en separat prosess for å registrere eierskiftet hos DyreID dersom hunden allerede er NKK-registrert. Om eierskifteskjemaet sendes til DyreID istedenfor, vil det bli videresendt til NKK. Vær oppmerksom på at NKK har egne priser for eierskifte. For ytterligere detaljer om priser og prosess, vennligst kontakt NKK direkte.;nkk, norsk kennel, stambokført, rasehund;;;;https://www.dyreid.no/hjelp-eierskifte/41-eierskifte-av-nkk-registrert-hund;Eierskifte av NKK-registrert hund;;
